Species	Mutation rate	Genome size	GC	id
Agrobacterium_tumefaciens_C58	2.92E-10	5.674	0.568534306	1
Bacillus_subtilis_NCIB_3610	3.35E-10	4.3	0.560329027	2
Burkhoderia_cenocepacia_HI2424	1.33E-10	7.703	0.604694621	3
Caulobacter_crescentus_NA1000	3.46E-10	4.043	0.565481161	4
Escherichia_coli_K_12_MG1655	2.00E-10	4.64	0.572637972	5
Haloferax_volcanii_DS2	3.15E-10	4.013	0.56652644	6
Janthinobacterium_lividum_KBS0711	1.22E-10	4.985	0.562710442	7
Lactococcus_lactis_DSMZ20481	1.66E-09	2.731	0.550021274	8
Mesoplasma_florum_L1	9.78E-09	0.79	0.573509825	9
Mycobacterium_smegmatis_MC2_155	5.27E-10	6.99	0.570288398	10
Pseudomonas_aeruginosa_PA14	7.92E-11	6.529	0.575809272	11
Rhodobacter_sphaeroides_ATCC17025	1.17E-10	4.557	0.535524723	12
Ruegeria_pomeroyi_DSS_3	1.39E-10	4.601	0.540467283	13
Salmonella_enterica	7.00E-10	4.862	0.559519441	14
Staphylococcus_aureus_ATCC_25923	4.38E-10	4.951	0.567415653	15
Staphylococcus_epidermidis_ATCC_12228	7.40E-10	2.565	0.531043536	16
Teredinibacter_turnerae	1.14E-09	5.19	0.56039921	17
Vibrio_cholerae_2740_80	1.07E-10	4.068	0.563277222	18
Vibrio_fischeri_ES114	2.07E-10	4.274	0.524613472	19
Vibrio_shilonii_AK1	2.29E-10	5.702	0.56662883	20
Arthrobacter_sp._KBS0703	3.18E-10	4.86	0.56327957	21
Colwellia_psychrerythraea_34H	8.38E-10	5.373	0.51840186	22
Deinococcus_radiodurans_R1	4.99E-10	3.284	0.548923314	23
Flavobacterium_sp._KBS0721	3.91E-10	5.868	0.555852139	24
Gemmata_obscuriglobus_DSM5831	2.38E-10	8.999	0.575594616	25
Kineococcus_radiotolerans_SRS30216	3.90E-10	4.957	0.556639342	26
Leeuwenhoekiella_sp._ZYFB001	5.49E-10	4.054	0.558266903	27
Micrococcus_sp._KBS0714	3.18E-10	2.52	0.559415635	28
Nonlabens_sp._SY33080	5.21E-10	2.852	0.553973264	29
Thermococcus_eurythermalis_A501	7.16E-09	2.126	0.566807455	30
